,Name,Location,Date,Price,Tickets
1,Moon Looks On,Monroes - Galway,Oct 26 @ 08:00 PM ,€13 + BF,https://www.ticketweb.ie/event/moon-looks-on-monroes-live-tickets/9928905?REFID=clientsitewp
2,The Moxie Strings,Monroes - Galway,Oct 27 @ 08:00 PM ,€8+ BF,https://www.ticketweb.ie/event/the-moxie-strings-monroes-live-tickets/9844525?REFID=clientsitewp
3,Thomas Gabriel - (Oldest Grandson of Johnny Cash),Monroes - Galway,Oct 27 @ 10:00 PM ,€8 + BF,https://www.ticketweb.ie/event/thomas-gabriel--oldest-monroes-live-tickets/9874095?REFID=clientsitewp
4,Rebūke ERĀ Tour | Monroes,Monroes - Galway,Oct 31 @ 10:30 PM ,EUR12.00 - EUR18.00,https://www.ticketweb.ie/event/rebke-er-tour-monroes-monroes-live-tickets/9924905?REFID=clientsitewp
5,Negative Creeps - (Nirvana Tribute),Monroes - Galway,Nov 1 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/negative-creeps--nirvana-monroes-live-tickets/9865835?REFID=clientsitewp
6,Scythian,Monroes - Galway,Nov 6 @ 08:00 PM ,€8 + BF,https://www.ticketweb.ie/event/scythian-monroes-live-tickets/9930685?REFID=clientsitewp
7,The Irish Santana Experience,Monroes - Galway,Nov 8 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/the-irish-santana-experience-monroes-live-tickets/9878465?REFID=clientsitewp
8,The Roadhouse Doors (The Doors Tribute),Monroes - Galway,Nov 15 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/the-roadhouse-doors-the-doors-monroes-live-tickets/9960395?REFID=clientsitewp
9,Pop Punk 101,Monroes - Galway,Nov 22 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/pop-punk-101-monroes-live-tickets/9899165?REFID=clientsitewp
10,Rock Against Homelessness,Monroes - Galway,Nov 23 @ 09:00 PM ,EUR18.00,https://www.ticketweb.ie/event/rock-against-homelessness-monroes-live-tickets/9955005?REFID=clientsitewp
11,Hollaback - nothin but noughties,Monroes - Galway,Nov 30 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/hollaback--nothin-but-monroes-live-tickets/9880525?REFID=clientsitewp
12,Amazing George Michael Tribute,Monroes - Galway,Dec 6 @ 09:00 PM ,€18 + BF,https://www.ticketweb.ie/event/amazing-george-michael-tribute-monroes-live-tickets/9980825?REFID=clientsitewp
13,The Blizzards - The Last Great Algorithm Tour,Monroes - Galway,Dec 7 @ 09:00 PM ,€20 + BF,https://www.ticketweb.ie/event/the-blizzards--the-monroes-live-tickets/9844455?REFID=clientsitewp
14,Mark Geary + The Strawhall House Band,Monroes - Galway,Dec 12 @ 08:00 PM ,€13 + BF,https://www.ticketweb.ie/event/mark-geary-the-strawhall-monroes-live-tickets/9995335?REFID=clientsitewp
15,ABBA Sensations,Monroes - Galway,Dec 20 @ 09:00 PM ,€13 + BF,https://www.ticketweb.ie/event/abba-sensations-monroes-live-tickets/9981245?REFID=clientsitewp
16,KILA,Monroes - Galway,Dec 23 @ 09:00 PM ,€20 + BF,https://www.ticketweb.ie/event/kila-monroes-live-tickets/9880505?REFID=clientsitewp
17,ÍMAR,Monroes - Galway,Feb 27 @ 08:00 PM ,€12 + BF,https://www.ticketweb.ie/event/mar-monroes-live-tickets/9878595?REFID=clientsitewp
