,name,location,month,day,ticketLink
1,Gloryhammer,The Academy - Dublin,Oct,24,https://www.ticketmaster.ie/gloryhammer-dublin-24-10-2019/event/18005654BA8A4528
2,Machine Head,The Telegraph Building - Belfast,Nov,07,https://www.ticketmaster.ie/machine-head-belfast-07-11-2019/event/3800567AB955176D
3,Machine Head,Olympia Theatre - Dublin,Nov,08,https://www.ticketmaster.ie/machine-head-dublin-08-11-2019/event/1800567ACC308685
4,The Darkness,The Limelight - Belfast,Nov,26,https://www.ticketmaster.ie/the-darkness-belfast-26-11-2019/event/3800567ACFE11874
5,Battle Beast,The Button Factory - Dublin,Nov,27,https://www.ticketmaster.ie/battle-beast-dublin-27-11-2019/event/1800569EB20E5B9F
6,The Darkness,The Academy - Dublin,Nov,27,https://www.ticketmaster.ie/the-darkness-dublin-27-11-2019/event/18005679D0E3C360
7,Sacred Reich,The Limelight 2 - Belfast,Dec,01,https://www.ticketmaster.ie/sacred-reich-belfast-01-12-2019/event/38005648F24C18E6
8,Sacred Reich,Voodoo Lounge Dublin - Dublin,Dec,03,https://www.ticketmaster.ie/sacred-reich-dublin-03-12-2019/event/18005648E43C6E85
9,Acid Reign,The Grand Social - Dublin,Dec,07,https://www.ticketmaster.ie/acid-reign-dublin-07-12-2019/event/180056FAD5C4883B
10,Acid Reign,Voodoo - Belfast,Dec,08,https://www.ticketmaster.ie/acid-reign-belfast-08-12-2019/event/380056F9B4461EB1
11,Torche,The Grand Social - Dublin,Dec,14,https://www.ticketweb.ie/event/torche-the-grand-social-tickets/9918865?REFERRAL_ID=tmfeed
12,Waylander,Voodoo - Belfast,Dec,21,https://www.ticketmaster.ie/waylander-belfast-21-12-2019/event/38005742A192C183
13,Wage War,Green Room at The Academy - Dublin,Jan,11,https://www.ticketmaster.ie/wage-war-dublin-11-01-2020/event/180056BB96F63E3F
14,Slipknot,3Arena - Dublin,Jan,14,https://www.ticketmaster.ie/slipknot-dublin-14-01-2020/event/18005711C6EC1DDF
15,Slipknot - VIP Packages,3Arena - Dublin,Jan,14,https://www.ticketmaster.ie/slipknot-vip-packages-dublin-14-01-2020/event/18005717A3389B68
16,Insomnium,Dolans Warehouse - Limerick City,Jan,21,https://www.ticketmaster.ie/insomnium-limerick-city-21-01-2020/event/1800574F9A553519
17,Insomnium,Whelans - Dublin,Jan,22,https://www.ticketmaster.ie/insomnium-dublin-22-01-2020/event/1800574E82E62E5F
18,Ozzy Osbourne,3Arena - Dublin,Feb,02,https://www.ticketmaster.ie/ozzy-osbourne-dublin-02-02-2020/event/1800551FE1FA38E0
19,Ozzy Osbourne - VIP Packages,3Arena - Dublin,Feb,02,https://www.ticketmaster.ie/ozzy-osbourne-vip-packages-dublin-02-02-2020/event/180055248CC70D44
20,The Hu,The Limelight - Belfast,Feb,15,https://www.ticketmaster.ie/the-hu-belfast-15-02-2020/event/38005732E2B0E33D
