,title,date,duration,link,mp3
1,Episode 56: Pete Clarke owner of Grindscene Records and singer of Strangle Wire,January 23rd - 2020,48 mins 45 secs,https://themetalcell.fireside.fm//56,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/50b1fcfe-f1f2-4fc5-8552-71b312c80d16.mp3
2,Episode 55: John Real of Bad Reputation and the famous Siege Festivals talks about his life promoting Metal in Limerick.,January 16th - 2020,1 hr 36 mins,https://themetalcell.fireside.fm//55,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/6b8cea5c-2db9-4a13-ab7a-79a9b0a55e5b.mp3
3,Episode 54: Spirit Merchant's Colin - Ollie and Leon discuss the creation and shaping of their new songs as a big year approaches for them as a new band.,January 9th - 2020,1 hr 14 mins,https://themetalcell.fireside.fm//54,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/3dd428b6-d781-4a47-8b9f-1071eabb620f.mp3
4,Episode 53: Green Hell Part 2. A Metal Cell Compilation featuring 14 of the best Irish Metal Releases of 2019.,January 2nd - 2020,1 hr 20 mins,https://themetalcell.fireside.fm//53,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/85f59243-b884-4504-b7e7-d0a7c6823040.mp3
5,Episode 52: The Metal Cell Forum 2019 Awards,December 26th - 2019,1 hr 55 mins,https://themetalcell.fireside.fm//52,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/5d246543-0953-4fb7-9397-949f401a4b2d.mp3
6,Episode 51: Green Hell Part 1. A Metal Cell Compilation (featuring my favourite belter's of 2019),December 19th - 2019,1 hr 29 mins,https://themetalcell.fireside.fm//51,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/962b575c-a588-4228-bc3f-66ffe90cfd1e.mp3
7,"Episode 50: Grey Stag's Matt - Steve and Gat (Alternative Matt) joined me upstairs in Fred Zeppelin's to celebrate their sophomore release ""The Boats"" E.P",December 12th - 2019,57 mins 21 secs,https://themetalcell.fireside.fm//50,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/5676af5c-485f-4e28-bd2d-91a895d49cb1.mp3
8,Episode 49: Hornets from Northern Ireland joined me to have a chat before they played on stage at The Dali in Cork as part of their short Irish tour.,December 5th - 2019,29 mins 43 secs,https://themetalcell.fireside.fm//49,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/4070dcf0-41e1-4bf6-8e85-a62d16a5e361.mp3
9,Episode 48: Black Coast's Chaz - Scott and Joe have a chat with me before they hit the stage on their short and successful tour of Ireland.,December 5th - 2019,35 mins 55 secs,https://themetalcell.fireside.fm//48,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/19a8d695-9163-4341-b8e7-ef52a0089632.mp3
10,Episode 47: The Metal Cell Forum Special. Danielle Daly - Jack O'Neill - Evan Prendergast and me talk all things Metal.,November 28th - 2019,1 hr 30 mins,https://themetalcell.fireside.fm//47,https://chtbl.com/track/39249/aphid.fireside.fm/d/1437767933/fb28b2bb-19a2-4a23-abe6-2f6359e54b9d/083276ee-6354-45cd-9ed9-25e6d8237baa.mp3
