,name,location,month,day,ticketLink
1,Sacred Reich,Voodoo Lounge Dublin - Dublin,Dec,03,https://www.ticketmaster.ie/sacred-reich-dublin-03-12-2019/event/18005648E43C6E85
2,Acid Reign,The Grand Social - Dublin,Dec,07,https://www.ticketmaster.ie/acid-reign-dublin-07-12-2019/event/180056FAD5C4883B
3,Acid Reign,Voodoo - Belfast,Dec,08,https://www.ticketmaster.ie/acid-reign-belfast-08-12-2019/event/380056F9B4461EB1
4,Torche,The Grand Social - Dublin,Dec,14,https://www.ticketweb.ie/event/torche-the-grand-social-tickets/9918865?REFERRAL_ID=tmfeed
5,Malaki,Academy 2 - Dublin,Dec,14,https://www.ticketmaster.ie/malaki-dublin-14-12-2019/event/18005755D12876C1
6,Waylander,Voodoo - Belfast,Dec,21,https://www.ticketmaster.ie/waylander-belfast-21-12-2019/event/38005742A192C183
7,Wage War-VIP Upgrade (Must Have Show Ticket),Green Room at The Academy - Dublin,Jan,11,https://www.ticketmaster.ie/wage-war-vip-upgrade-must-have-show-ticket-dublin-11-01-2020/event/1800575FBCCB4AEC
8,Wage War,Green Room at The Academy - Dublin,Jan,11,https://www.ticketmaster.ie/wage-war-dublin-11-01-2020/event/180056BB96F63E3F
9,Slipknot,3Arena - Dublin,Jan,14,https://www.ticketmaster.ie/slipknot-dublin-14-01-2020/event/18005711C6EC1DDF
10,Slipknot - VIP Packages,3Arena - Dublin,Jan,14,https://www.ticketmaster.ie/slipknot-vip-packages-dublin-14-01-2020/event/18005717A3389B68
11,Insomnium,Dolans Warehouse - Limerick City,Jan,21,https://www.ticketmaster.ie/insomnium-limerick-city-21-01-2020/event/1800574F9A553519
12,Insomnium,Whelans - Dublin,Jan,22,https://www.ticketmaster.ie/insomnium-dublin-22-01-2020/event/1800574E82E62E5F
13,The Hu,The Limelight - Belfast,Feb,15,https://www.ticketmaster.ie/the-hu-belfast-15-02-2020/event/38005732E2B0E33D
14,The Hu,The Academy - Dublin,Feb,16,https://www.ticketmaster.ie/the-hu-dublin-16-02-2020/event/18005732E1E391B3
15,Testament- Exodus and Death Angel,National Stadium - Dublin,Mar,04,https://www.ticketmaster.ie/testament-exodus-and-death-angel-dublin-04-03-2020/event/180056F9BCD2509A
16,Grand Magus,The Grand Social - Dublin,Mar,07,https://www.ticketmaster.ie/grand-magus-dublin-07-03-2020/event/1800570DB2821B6A
17,Grand Magus,The Limelight 2 - Belfast,Mar,08,https://www.ticketmaster.ie/grand-magus-belfast-08-03-2020/event/3800570DBC291172
18,Anvil,The Limelight 2 - Belfast,Mar,11,https://www.ticketmaster.ie/anvil-belfast-11-03-2020/event/3800573793061F06
19,Anvil,Voodoo Lounge Dublin - Dublin,Mar,12,https://www.ticketmaster.ie/anvil-dublin-12-03-2020/event/1800573798D77CEC
20,Napalm Death,Dolans Warehouse - Limerick City,Mar,27,https://www.ticketmaster.ie/napalm-death-limerick-city-27-03-2020/event/1800577DAC1E6E8A
